label,quadrant,ring,moved,description,link
Kotlin,Languages & Frameworks,Adopt,0,"Our primary backend language. Mature ecosystem, excellent Java interop, and strong team expertise.",
Scala,Languages & Frameworks,Hold,-1,Too complex for enterprise. Lack of up to date tooling.,
Spring Boot,Languages & Frameworks,Adopt,0,Standard framework for building backend services. Well-understood by the team.,
TypeScript,Languages & Frameworks,Adopt,0,Default language for all frontend and Node.js work. Type safety prevents entire classes of bugs.,
Next.js,Languages & Frameworks,Trial,1,Evaluating for our web applications. Server components and app router show promise.,
React,Languages & Frameworks,Adopt,0,Our standard frontend library. Large ecosystem and strong community.,
Flutter,Languages & Frameworks,Trial,0,Cross-platform mobile development. Evaluating for our mobile applications.,
Rust,Languages & Frameworks,Assess,2,Exploring for performance-critical services. Memory safety without garbage collection.,
PostgreSQL,Platforms,Adopt,0,"Our default relational database. Reliable, feature-rich, and well-supported.",
Supabase,Platforms,Trial,0,Backend-as-a-service built on PostgreSQL. Evaluating for rapid prototyping and smaller projects.,
AWS,Platforms,Adopt,0,Primary cloud provider. Well-established infrastructure and team knowledge.,
Kubernetes,Platforms,Adopt,0,Container orchestration standard. Running all production workloads.,
GitHub Actions,Platforms,Adopt,0,Our CI/CD platform. Integrated with our GitHub workflow.,
Kafka,Platforms,Trial,0,Event streaming platform. Evaluating for event-driven architectures.,
Docker,Tools,Adopt,0,Standard containerization tool across all projects.,
Datadog,Tools,Trial,1,Evaluating as our unified observability platform.,
Sentry,Tools,Adopt,0,Error tracking and performance monitoring across all applications.,
Terraform,Tools,Adopt,0,Infrastructure as code. All cloud resources managed through Terraform.,
Claude Code,Tools,Trial,2,AI-powered coding assistant. Evaluating for developer productivity.,
SonarQube,Tools,Assess,0,Static code analysis. Exploring for code quality enforcement in CI.,
Trunk-Based Development,Techniques,Adopt,0,Short-lived feature branches merged frequently. Reduces integration pain.,
Event Sourcing,Techniques,Assess,0,Exploring for audit-heavy domains. Powerful but adds complexity.,
Micro Frontends,Techniques,Hold,0,Too much operational overhead for our team size. Monolithic frontend preferred for now.,
API-First Design,Techniques,Adopt,0,Design APIs before implementation using OpenAPI specs. Enables parallel frontend/backend work.,
Architecture Decision Records,Techniques,Trial,1,Lightweight documentation of significant technical decisions. Building the habit across teams.,
Platform Engineering,Techniques,Assess,2,Internal developer platform to reduce cognitive load. Exploring what this means for our scale.,
